x,y,z
-3.79567931e+00,-3.02317929e+00,2.48780433e+01
-3.72661688e+00,-3.11698598e+00,2.44996700e+01
-3.67357957e+00,-3.22161074e+00,2.41305716e+01
-3.63605749e+00,-3.33678082e+00,2.37713409e+01
-3.61357036e+00,-3.46236745e+00,2.34225722e+01
-3.60567771e+00,-3.59837023e+00,2.30848751e+01
-3.61198654e+00,-3.74490202e+00,2.27588867e+01
-3.63215686e+00,-3.90217403e+00,2.24452837e+01
-3.66590532e+00,-4.07048136e+00,2.21447937e+01
-3.71300706e+00,-4.25018863e+00,2.18582068e+01
-3.77329614e+00,-4.44171554e+00,2.15863863e+01
-3.84666439e+00,-4.64552197e+00,2.13302810e+01
-3.93305901e+00,-4.86209234e+00,2.10909361e+01
-4.03247884e+00,-5.09191863e+00,2.08695054e+01
-4.14496927e+00,-5.33548170e+00,2.06672630e+01
-4.27061574e+00,-5.59323027e+00,2.04856150e+01
-4.40953577e+00,-5.86555700e+00,2.03261106e+01
-4.56186923e+00,-6.15277100e+00,2.01904523e+01
-4.72776682e+00,-6.45506624e+00,2.00805044e+01
-4.90737633e+00,-6.77248509e+00,1.99982989e+01
-5.10082649e+00,-7.10487658e+00,1.99460375e+01
-5.30820821e+00,-7.45184894e+00,1.99260892e+01
-5.52955264e+00,-7.81271605e+00,1.99409802e+01
-5.76480607e+00,-8.18643822e+00,1.99933755e+01
-6.01380126e+00,-8.57155751e+00,2.00860487e+01
-6.27622517e+00,-8.96612909e+00,2.02218379e+01
-6.55158302e+00,-9.36765059e+00,2.04035846e+01
-6.83915922e+00,-9.77299242e+00,2.06340520e+01
-7.13797545e+00,-1.01783337e+01,2.09158216e+01
-7.44674728e+00,-1.05791094e+01,2.12511632e+01
-7.76384059e+00,-1.09699763e+01,2.16418802e+01
-8.08723026e+00,-1.13448064e+01,2.20891286e+01
-8.41446383e+00,-1.16967182e+01,2.25932149e+01
-8.74263395e+00,-1.20181567e+01,2.31533776e+01
-9.06836375e+00,-1.23010320e+01,2.37675651e+01
-9.38781002e+00,-1.25369251e+01,2.44322243e+01
-9.69668913e+00,-1.27173659e+01,2.51421196e+01
-9.99033044e+00,-1.28341816e+01,2.58902075e+01
-1.02637608e+01,-1.28799060e+01,2.66675907e+01
-1.05118220e+01,-1.28482312e+01,2.74635781e+01
-1.07293216e+01,-1.27344709e+01,2.82658707e+01
-1.09112113e+01,-1.25359975e+01,2.90608831e+01
-1.10527881e+01,-1.22526075e+01,2.98342006e+01
-1.11499052e+01,-1.18867693e+01,3.05711501e+01
-1.11991787e+01,-1.14437132e+01,3.12574511e+01
-1.11981750e+01,-1.09313363e+01,3.18798943e+01
-1.11455619e+01,-1.03599154e+01,3.24269866e+01
-1.10412086e+01,-9.74164188e+00,3.28895015e+01
-1.08862256e+01,-9.09001662e+00,3.32608803e+01
-1.06829382e+01,-8.41916059e+00,3.35374464e+01
-1.04347953e+01,-7.74310562e+00,3.37184184e+01
-1.01462213e+01,-7.07513120e+00,3.38057312e+01
-9.82242393e+00,-6.42720289e+00,3.38036957e+01
-9.46917258e+00,-5.80955169e+00,3.37185441e+01
-9.09256623e+00,-5.23041351e+00,3.35579134e+01
-8.69880602e+00,-4.69592789e+00,3.33303197e+01
-8.29398697e+00,-4.21017881e+00,3.30446685e+01
-7.88391918e+00,-3.77534920e+00,3.27098318e+01
-7.47398488e+00,-3.39195542e+00,3.23343117e+01
-7.06903390e+00,-3.05912797e+00,3.19259973e+01
-6.67331678e+00,-2.77490856e+00,3.14920091e+01
-6.29045234e+00,-2.53653977e+00,3.10386213e+01
-5.92342480e+00,-2.34073026e+00,3.05712470e+01
-5.57460486e+00,-2.18388531e+00,3.00944697e+01
-5.24578873e+00,-2.06229800e+00,2.96121071e+01
-4.93824977e+00,-1.97230050e+00,2.91272927e+01
